W,R,AB,H,doubles,triples,HR,BB,SO,SB,CS,RA,ER,CG,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,singles,OBP,net_points
61,678,5534,1404,218,20,139,537,876.0,82.0,53.0,895,779,28,4335,1581,169,701,915,175,127.0,0.972,872464.0,1027,0.31971668588370944,-217
97,719,5494,1433,231,25,148,560,945.0,90.0,51.0,653,603,65,4353,1414,124,494,737,106,189.0,0.983,1195769.0,1029,0.329203832177073,66
97,859,5510,1551,258,56,213,528,905.0,66.0,47.0,712,652,40,4284,1555,158,378,758,132,162.0,0.978,2074549.0,1024,0.3443193110301424,147
90,844,5633,1568,254,52,192,559,666.0,42.0,44.0,771,682,34,4332,1557,136,516,842,159,125.0,0.9740000000000001,1657135.0,1070,0.3435077519379845,73
81,692,5604,1489,271,37,111,534,796.0,64.0,45.0,739,654,16,4404,1500,128,489,942,153,147.0,0.977,1439834.0,1070,0.3295861844248941,-47
88,802,5524,1513,269,42,181,600,911.0,170.0,64.0,725,672,33,4311,1469,156,544,868,95,154.0,0.9840000000000001,2519670.0,1021,0.34503592423252777,77
71,676,5491,1476,221,46,100,531,688.0,87.0,87.0,739,661,45,4356,1441,136,550,876,130,145.0,0.9790000000000001,900365.0,1109,0.3332779807372966,-63
74,714,5604,1480,228,45,166,452,764.0,60.0,46.0,751,669,44,4371,1526,162,470,784,140,153.0,0.978,1359856.0,1041,0.3190224570673712,-37
81,680,5530,1405,263,60,114,515,839.0,187.0,72.0,650,576,37,4395,1384,110,545,871,142,136.0,0.978,1109560.0,968,0.3176178660049628,30
102,822,5594,1549,299,77,146,522,687.0,170.0,87.0,651,571,41,4380,1377,110,499,850,137,145.0,0.978,1852603.0,1027,0.33862001308044476,171
98,769,5589,1484,223,28,191,588,896.0,114.0,62.0,582,528,34,4425,1393,119,438,930,124,160.0,0.981,2955087.0,1042,0.3354379148453942,187
84,867,5639,1588,273,60,123,563,754.0,105.0,65.0,776,699,35,4326,1546,151,507,737,144,184.0,0.978,1162727.0,1132,0.34682360528861655,91
100,831,5605,1576,267,47,184,533,681.0,93.0,57.0,651,581,52,4347,1395,139,486,758,132,151.0,0.9790000000000001,2103092.0,1078,0.34359726295210163,180
64,587,5410,1319,227,30,88,529,887.0,98.0,81.0,663,600,27,4299,1378,118,490,911,134,132.0,0.978,1066825.0,974,0.31116349553796935,-76
63,605,5358,1284,176,37,117,516,910.0,176.0,89.0,749,645,32,4308,1459,145,560,788,190,136.0,0.97,495599.0,954,0.30643513789581206,-144
101,847,5546,1548,266,56,186,573,806.0,135.0,68.0,668,600,31,4365,1451,134,482,856,120,168.0,0.981,2700070.0,1040,0.346625265566269,179
96,734,5662,1550,278,57,133,474,878.0,260.0,120.0,665,594,25,4443,1406,149,485,890,145,137.0,0.977,1237349.0,1082,0.32985658409387225,69
69,692,5602,1397,245,49,120,602,1057.0,133.0,57.0,834,722,6,4398,1556,160,673,827,189,142.0,0.971,1376269.0,983,0.3222114764667956,-142
64,624,5460,1398,218,33,133,426,769.0,110.0,67.0,855,769,18,4299,1508,194,578,785,147,162.0,0.976,1338511.0,1014,0.30988786952089703,-231
75,673,5497,1392,227,41,134,568,842.0,90.0,59.0,711,608,27,4377,1501,114,529,854,178,136.0,0.972,700056.0,990,0.3231657048639736,-38
83,737,5527,1490,252,56,96,489,823.0,134.0,112.0,688,612,26,4338,1420,139,532,768,139,174.0,0.978,1659287.0,1086,0.3289561170212766,49
94,767,5541,1497,265,39,135,596,904.0,154.0,85.0,657,582,49,4416,1412,134,471,864,117,156.0,0.982,1250722.0,1058,0.34104611373635324,110
54,605,5418,1367,230,41,100,499,819.0,65.0,55.0,822,725,40,4284,1538,152,623,771,163,133.0,0.9740000000000001,1701052.0,996,0.3153625147878993,-217
69,600,5381,1313,191,39,123,550,874.0,90.0,65.0,750,653,29,4320,1404,132,624,848,153,126.0,0.975,904494.0,960,0.3141122913505311,-150
90,659,5422,1397,248,19,154,552,864.0,75.0,61.0,633,565,65,4287,1340,107,509,754,110,166.0,0.982,1051724.0,976,0.3262470706394376,26
99,796,5587,1493,270,46,172,582,835.0,74.0,51.0,657,579,57,4416,1530,137,464,706,146,171.0,0.977,2320643.0,1005,0.3363592154319987,139
71,634,5393,1423,221,41,106,409,625.0,83.0,68.0,731,659,38,4227,1380,128,586,710,138,130.0,0.977,1491100.0,1055,0.31575318855567047,-97
79,664,5532,1461,224,48,72,562,746.0,110.0,58.0,724,655,24,4365,1475,125,539,768,144,154.0,0.978,1525311.0,1117,0.3319658680669511,-60
92,710,5392,1378,270,32,136,636,899.0,137.0,58.0,688,613,16,4344,1437,122,567,908,134,120.0,0.978,2532497.0,940,0.334107498341075,22
69,639,5365,1400,223,45,106,488,698.0,64.0,63.0,694,621,36,4221,1397,100,568,739,121,142.0,0.98,800584.0,1026,0.32256962241585513,-55
86,714,5601,1520,218,34,129,563,695.0,90.0,38.0,653,588,60,4365,1441,135,503,684,117,177.0,0.981,1714893.0,1139,0.33792991563919533,61
74,605,5458,1408,231,45,70,434,743.0,178.0,59.0,634,581,48,4320,1328,86,578,930,132,109.0,0.978,1126145.0,1062,0.31262729124236255,-29
92,743,5474,1469,305,59,98,498,644.0,216.0,84.0,634,550,53,4317,1350,108,478,657,150,153.0,0.976,2255493.0,1007,0.329370395177495,109
95,727,5437,1435,251,27,149,610,818.0,137.0,52.0,573,499,46,4320,1362,107,440,800,140,138.0,0.978,3347845.0,1008,0.33818422358194145,154
73,666,5522,1472,259,47,82,604,684.0,99.0,56.0,678,598,48,4377,1468,102,520,703,146,171.0,0.977,787878.0,1084,0.3388834476003918,-12
100,735,5583,1489,228,38,125,505,695.0,98.0,42.0,582,516,39,4380,1321,111,478,817,113,134.0,0.982,2335871.0,1098,0.32752956636005254,153
66,607,5433,1332,227,47,86,549,829.0,100.0,77.0,690,626,21,4365,1447,114,531,775,132,160.0,0.9790000000000001,1007328.0,972,0.31444332998996993,-83
69,532,5321,1304,200,31,100,433,800.0,144.0,117.0,690,576,26,4299,1401,106,582,750,179,145.0,0.971,526999.0,973,0.3018769551616267,-158
90,708,5448,1404,248,32,133,552,866.0,152.0,58.0,586,531,38,4308,1343,118,393,813,104,156.0,0.983,2583389.0,991,0.326,122
88,684,5406,1390,239,54,115,480,874.0,213.0,90.0,637,547,30,4332,1366,103,499,880,166,133.0,0.973,964106.0,982,0.3177030241250425,47
84,591,5360,1349,208,42,75,536,848.0,152.0,70.0,598,522,21,4299,1385,74,483,744,160,171.0,0.975,1670107.0,1024,0.31970827679782904,-7
56,614,5358,1327,229,37,97,522,702.0,123.0,47.0,834,736,28,4257,1540,155,567,630,141,174.0,0.978,877440.0,964,0.31445578231292515,-220
89,613,5364,1331,240,41,117,554,814.0,87.0,54.0,594,534,42,4365,1377,84,453,840,146,118.0,0.976,1740477.0,933,0.31851977019263267,19
69,600,5415,1351,263,44,79,420,713.0,97.0,42.0,657,572,32,4311,1300,94,600,859,136,155.0,0.978,1278215.0,965,0.3035132819194516,-57
87,692,5347,1353,216,36,132,624,779.0,196.0,91.0,632,544,54,4368,1431,108,421,776,153,140.0,0.976,1447963.0,969,0.33110031820465585,60
59,590,5430,1358,217,39,98,448,645.0,28.0,52.0,775,721,35,4287,1529,149,614,758,130,163.0,0.9790000000000001,1562585.0,1004,0.307247363048656,-185
66,669,5422,1389,220,28,126,490,818.0,98.0,50.0,763,653,32,4221,1496,132,494,779,183,139.0,0.97,769465.0,1015,0.3178281461434371,-94
102,757,5371,1401,258,24,181,608,847.0,99.0,49.0,582,519,52,4302,1279,133,467,786,125,161.0,0.98,1681009.0,938,0.3360093661147349,175
91,841,5538,1567,310,34,194,512,708.0,60.0,43.0,711,641,47,4293,1487,133,463,731,142,166.0,0.977,2353114.0,1029,0.34363636363636363,130
73,730,5463,1505,290,33,127,454,668.0,97.0,62.0,748,642,28,4227,1365,114,618,675,173,142.0,0.972,1280702.0,1055,0.33107993915835726,-18
80,706,5550,1494,250,43,135,478,762.0,73.0,52.0,707,623,20,4338,1500,127,521,933,159,163.0,0.975,1648587.0,1066,0.32714001327140013,-1
90,731,5477,1445,266,31,132,614,902.0,99.0,47.0,644,573,27,4320,1415,103,485,773,124,152.0,0.98,2356933.0,1016,0.3380397307502873,87
81,760,5376,1388,206,29,138,657,786.0,143.0,90.0,805,727,28,4293,1502,138,570,781,126,149.0,0.9790000000000001,1011644.0,1015,0.33896900381236533,-45
85,770,5375,1446,221,35,164,575,814.0,176.0,86.0,738,675,25,4269,1429,167,547,802,120,184.0,0.98,1630929.0,1026,0.33966386554621847,32
89,583,5394,1382,224,52,49,461,745.0,190.0,95.0,582,514,55,4341,1278,90,504,854,137,146.0,0.978,1900312.0,1057,0.3147736976942784,1
85,851,5653,1596,286,79,116,528,675.0,207.0,76.0,816,716,42,4344,1477,165,536,640,146,160.0,0.977,2261845.0,1115,0.3436337162271477,35
79,739,5490,1443,220,24,183,556,834.0,106.0,46.0,717,615,30,4332,1425,101,555,811,118,123.0,0.981,2860954.0,1016,0.33063182269268937,22
82,764,5544,1544,256,46,112,526,693.0,66.0,45.0,725,663,31,4332,1590,128,452,721,134,203.0,0.9790000000000001,1070521.0,1130,0.34102141680395387,39
